Source,Abbreviation,Content,Rating,,,,
ZATCA,ZATCA,اتمنى دعم تطبيق الايباد في وضع الافقي والعمودي,5,,,,
ZATCA,ZATCA,"جدا مميز في سهولة معرفة امورك لديهم وفواتيرك ولقراراتك 
اتمنى لهم التوفيق",5,,,,
Zakaty,Zakaty,الحمد لله اسهل طريقة لاخراج الزكاة وهي تتصرف بها حسب التعليمات شكرا لكل من ساهم في تيسير امور الناس شكرا وكل عام وانتم بخير,5,,,,
Zakaty,Zakaty,أرجو تفعيل السداد من خلال ابل باي,5,,,,
Zakaty,Zakaty,تطبيق ممتاز جزاكم الله خير,5,,,,
Zakaty,Zakaty,جزاكم الله خير.. يسرتوا لنا دفع الزكاة,5,,,,
Zakaty,Zakaty,مريح وعملي جزاكم الله خير,5,,,,
Zakaty,Zakaty,ممتاز و سهل ويصدرلك فاتورة تدفع زكاتك عن طريق سداد,5,,,,
Wateen,Wateen,ًرائع جداً لكن بودي إضافة التبرع بالصفائح الدموية لأهميتها لمرضى كثر مثل مرضى السرطان والمرضى اللي يتم التبرع بالأعضاء لهم حيث يتم التبرع بها كل أسبوعين أو ثلاث أسابيع بها ,5,راءع جدا لكن بودي اضافه التبرع بالصفاءح الدمويه لاهميتها لمرضي كثر مثل مرضي السرطان والمرضي اللي يتم التبرع بالاعضاء لهمحيث يتم التبرع بها كل اسبوعين او ثلاث اسابيع بها,راءع جد لكن ودي اضاف تبرع صفاءح دمويه اهمي مرض كثر مثل مرض سرطان مرضي لي تم تبرع اعضاء ل حيث تم تبرع ب كل أسبوع أو ثلاث أسابيع ب,ar,
Wateen,Wateen,اتمنا تطوير البرنامج اكثر بحيث الاوسمة الملكية نقدمها من التطبيق وشكرا,5,اتمنا تطوير البرنامج اكثر بحيث الاوسمه الملكيه نقدمها من التطبيق وشكرا,اتم تطوير برنامج أكثر حيث اوسمه ملكيه قدم من تطبيق شكر,ar,
Wateen,Wateen,اتمنى اضافه رفع وسام الملك عبدالعزيز من برنامج وتين,5,اتمني اضافه رفع وسام الملك عبدالعزيز من برنامج وتين,أتمنى اضاف رفع وسام ملك عبدالعزيز من برنامج تين,ar,
Wateen,Wateen,اتمنى تضعون بيانات مرتكز الدم ومتى وقت العمل,5,اتمني تضعون بيانات مرتكز الدم ومتي وقت العمل,أتمنى وضع بيان مرتكز دم متى وقت عمل,ar,
Wateen,Wateen,اتمنى لكم التوفيق,5,اتمني لكم التوفيق,أتمنى ل توفيق,ar,
